"KUNTANRO";"KUNTANIMIFI";"KUNTANIMISV";"KUNTAMUOTO";"KIELISYYS";"VAALIPIIRINRO";"VAALIPIIRIFI";"VAALIPIIRISV";"MAAKUNTANRO";"MAAKUNTANIMIFI";"MAAKUNTANIMISV"
"288";"Kruunupyy";"Kronoby";"Kunta";"ruotsi";10;"Vaasan vaalipiiri";"Vasa valkrets";14;"Pohjanmaa";"Österbotten"
"290";"Kuhmo";"Kuhmo";"Kaupunki";"suomi";12;"Oulun vaalipiiri";"Uleåborgs valkrets";17;"Kainuu";"Kajanaland"
"291";"Kuhmoinen";"Kuhmois";"Kunta";"suomi";7;"Pirkanmaan vaalipiiri";"Birkalands valkrets";5;"Pirkanmaa";"Birkaland"
"295";"Kumlinge";"Kumlinge";"Kunta";"suomi";5;"Ahvenanmaan maakunnan vaalipiiri";"Landskapet Ålands valkrets";19;"Ahvenanmaa";"Åland"
"297";"Kuopio";"Kuopio";"Kaupunki";"suomi";9;"Savo-Karjalan vaalipiiri";"Savolax-Karelens valkrets";10;"Pohjois-Savo";"Norra Savolax"
"300";"Kuortane";"Kuortane";"Kunta";"suomi";10;"Vaasan vaalipiiri";"Vasa valkrets";13;"Etelä-Pohjanmaa";"Södra Österbotten"
"301";"Kurikka";"Kurikka";"Kaupunki";"suomi";10;"Vaasan vaalipiiri";"Vasa valkrets";13;"Etelä-Pohjanmaa";"Södra Österbotten"
"304";"Kustavi";"Gustavs";"Kunta";"suomi";3;"Varsinais-Suomen vaalipiiri";"Egentliga Finlands valkrets";2;"Varsinais-Suomi";"Egentliga Finland"
"305";"Kuusamo";"Kuusamo";"Kaupunki";"suomi";12;"Oulun vaalipiiri";"Uleåborgs valkrets";16;"Pohjois-Pohjanmaa";"Norra Österbotten"
"309";"Outokumpu";"Outokumpu";"Kaupunki";"suomi";9;"Savo-Karjalan vaalipiiri";"Savolax-Karelens valkrets";11;"Pohjois-Karjala";"Norra Karelen"
"312";"Kyyjärvi";"Kyyjärvi";"Kunta";"ruotsi";11;"Keski-Suomen vaalipiiri";"Mellersta Finlands valkrets";12;"Keski-Suomi";"Mellersta Finland"
"316";"Kärkölä";"Kärkölä";"Kunta";"suomi";6;"Hämeen vaalipiiri";"Tavastlands valkrets";6;"Päijät-Häme";"Päijänne-Tavastland"
"317";"Kärsämäki";"Kärsämäki";"Kunta";"ruotsi - suomi";12;"Oulun vaalipiiri";"Uleåborgs valkrets";16;"Pohjois-Pohjanmaa";"Norra Österbotten"
"318";"Kökar";"Kökar";"Kunta";"suomi";5;"Ahvenanmaan maakunnan vaalipiiri";"Landskapet Ålands valkrets";19;"Ahvenanmaa";"Åland"
"320";"Kemijärvi";"Kemijärvi";"Kaupunki";"suomi";13;"Lapin vaalipiiri";"Lapplands valkrets";18;"Lappi";"Lappland"
"322";"Kemiönsaari";"Kimitoön";"Kunta";"suomi";3;"Varsinais-Suomen vaalipiiri";"Egentliga Finlands valkrets";2;"Varsinais-Suomi";"Egentliga Finland"
"398";"Lahti";"Lahtis";"Kaupunki";"suomi";6;"Hämeen vaalipiiri";"Tavastlands valkrets";6;"Päijät-Häme";"Päijänne-Tavastland"
"399";"Laihia";"Laihela";"Kunta";"suomi";10;"Vaasan vaalipiiri";"Vasa valkrets";14;"Pohjanmaa";"Österbotten"
"400";"Laitila";"Letala";"Kaupunki";"suomi";3;"Varsinais-Suomen vaalipiiri";"Egentliga Finlands valkrets";2;"Varsinais-Suomi";"Egentliga Finland"
"402";"Lapinlahti";"Lapinlahti";"Kunta";"suomi - ruotsi";9;"Savo-Karjalan vaalipiiri";"Savolax-Karelens valkrets";10;"Pohjois-Savo";"Norra Savolax"
"403";"Lappajärvi";"Lappajärvi";"Kunta";"suomi";10;"Vaasan vaalipiiri";"Vasa valkrets";13;"Etelä-Pohjanmaa";"Södra Österbotten"
"405";"Lappeenranta";"Villmanstrand";"Kaupunki";"suomi";8;"Kaakkois-Suomen vaalipiiri";"Sydöstra Finlands valkrets";8;"Etelä-Karjala";"Södra Karelen"
"407";"Lapinjärvi";"Lappträsk";"Kunta";"suomi";2;"Uudenmaan vaalipiiri";"Nylands valkrets";1;"Uusimaa";"Nyland"
"408";"Lapua";"Lappo";"Kaupunki";"ruotsi";10;"Vaasan vaalipiiri";"Vasa valkrets";13;"Etelä-Pohjanmaa";"Södra Österbotten"
"410";"Laukaa";"Laukas";"Kunta";"suomi";11;"Keski-Suomen vaalipiiri";"Mellersta Finlands valkrets";12;"Keski-Suomi";"Mellersta Finland"
"416";"Lemi";"Lemi";"Kunta";"suomi";8;"Kaakkois-Suomen vaalipiiri";"Sydöstra Finlands valkrets";8;"Etelä-Karjala";"Södra Karelen"
"417";"Lemland";"Lemland";"Kunta";"suomi";5;"Ahvenanmaan maakunnan vaalipiiri";"Landskapet Ålands valkrets";19;"Ahvenanmaa";"Åland"
"418";"Lempäälä";"Lempäälä";"Kunta";"suomi";7;"Pirkanmaan vaalipiiri";"Birkalands valkrets";5;"Pirkanmaa";"Birkaland"
"420";"Leppävirta";"Leppävirta";"Kunta";"suomi";9;"Savo-Karjalan vaalipiiri";"Savolax-Karelens valkrets";10;"Pohjois-Savo";"Norra Savolax"
"421";"Lestijärvi";"Lestijärvi";"Kunta";"suomi";10;"Vaasan vaalipiiri";"Vasa valkrets";15;"Keski-Pohjanmaa";"Mellersta Österbotten"
"422";"Lieksa";"Lieksa";"Kaupunki";"suomi";9;"Savo-Karjalan vaalipiiri";"Savolax-Karelens valkrets";11;"Pohjois-Karjala";"Norra Karelen"
"423";"Lieto";"Lundo";"Kunta";"suomi";3;"Varsinais-Suomen vaalipiiri";"Egentliga Finlands valkrets";2;"Varsinais-Suomi";"Egentliga Finland"
"425";"Liminka";"Limingo";"Kunta";"suomi";12;"Oulun vaalipiiri";"Uleåborgs valkrets";16;"Pohjois-Pohjanmaa";"Norra Österbotten"
"426";"Liperi";"Libelits";"Kunta";"suomi - ruotsi";9;"Savo-Karjalan vaalipiiri";"Savolax-Karelens valkrets";11;"Pohjois-Karjala";"Norra Karelen"
"430";"Loimaa";"Loimaa";"Kaupunki";"suomi";3;"Varsinais-Suomen vaalipiiri";"Egentliga Finlands valkrets";2;"Varsinais-Suomi";"Egentliga Finland"
"433";"Loppi";"Loppi";"Kunta";"suomi";6;"Hämeen vaalipiiri";"Tavastlands valkrets";4;"Kanta-Häme";"Egentliga Tavastland"
"434";"Loviisa";"Lovisa";"Kaupunki";"ruotsi";2;"Uudenmaan vaalipiiri";"Nylands valkrets";1;"Uusimaa";"Nyland"
"435";"Luhanka";"Luhanka";"Kunta";"ruotsi - suomi";11;"Keski-Suomen vaalipiiri";"Mellersta Finlands valkrets";12;"Keski-Suomi";"Mellersta Finland"
"436";"Lumijoki";"Lumijoki";"Kunta";"suomi";12;"Oulun vaalipiiri";"Uleåborgs valkrets";16;"Pohjois-Pohjanmaa";"Norra Österbotten"
"438";"Lumparland";"Lumparland";"Kunta";"suomi";5;"Ahvenanmaan maakunnan vaalipiiri";"Landskapet Ålands valkrets";19;"Ahvenanmaa";"Åland"
"440";"Luoto";"Larsmo";"Kunta";"suomi - ruotsi";10;"Vaasan vaalipiiri";"Vasa valkrets";14;"Pohjanmaa";"Österbotten"
"441";"Luumäki";"Luumäki";"Kunta";"ruotsi - suomi";8;"Kaakkois-Suomen vaalipiiri";"Sydöstra Finlands valkrets";8;"Etelä-Karjala";"Södra Karelen"
"444";"Lohja";"Lojo";"Kaupunki";"ruotsi - suomi";2;"Uudenmaan vaalipiiri";"Nylands valkrets";1;"Uusimaa";"Nyland"
"445";"Parainen";"Pargas";"Kaupunki";"ruotsi";3;"Varsinais-Suomen vaalipiiri";"Egentliga Finlands valkrets";2;"Varsinais-Suomi";"Egentliga Finland"
"475";"Maalahti";"Malax";"Kunta";"suomi";10;"Vaasan vaalipiiri";"Vasa valkrets";14;"Pohjanmaa";"Österbotten"
"478";"Maarianhamina";"Mariehamn";"Kaupunki";"suomi";5;"Ahvenanmaan maakunnan vaalipiiri";"Landskapet Ålands valkrets";19;"Ahvenanmaa";"Åland"
"480";"Marttila";"S:t Mårtens";"Kunta";"suomi";3;"Varsinais-Suomen vaalipiiri";"Egentliga Finlands valkrets";2;"Varsinais-Suomi";"Egentliga Finland"
"481";"Masku";"Masku";"Kunta";"suomi";3;"Varsinais-Suomen vaalipiiri";"Egentliga Finlands valkrets";2;"Varsinais-Suomi";"Egentliga Finland"
"483";"Merijärvi";"Merijärvi";"Kunta";"suomi";12;"Oulun vaalipiiri";"Uleåborgs valkrets";16;"Pohjois-Pohjanmaa";"Norra Österbotten"
"484";"Merikarvia";"Sastmola";"Kunta";"suomi";4;"Satakunnan vaalipiiri";"Satakunta valkrets";3;"Satakunta";"Satakunta"
"489";"Miehikkälä";"Miehikkälä";"Kunta";"suomi";8;"Kaakkois-Suomen vaalipiiri";"Sydöstra Finlands valkrets";7;"Kymenlaakso";"Kymmenedalen"
"491";"Mikkeli";"S:t Michel";"Kaupunki";"suomi";8;"Kaakkois-Suomen vaalipiiri";"Sydöstra Finlands valkrets";9;"Etelä-Savo";"Södra Savolax"
"494";"Muhos";"Muhos";"Kunta";"suomi";12;"Oulun vaalipiiri";"Uleåborgs valkrets";16;"Pohjois-Pohjanmaa";"Norra Österbotten"
"495";"Multia";"Multia";"Kunta";"ruotsi - suomi";11;"Keski-Suomen vaalipiiri";"Mellersta Finlands valkrets";12;"Keski-Suomi";"Mellersta Finland"
"498";"Muonio";"Muonio";"Kunta";"suomi";13;"Lapin vaalipiiri";"Lapplands valkrets";18;"Lappi";"Lappland"
"499";"Mustasaari";"Korsholm";"Kunta";"suomi";10;"Vaasan vaalipiiri";"Vasa valkrets";14;"Pohjanmaa";"Österbotten"
"500";"Muurame";"Muurame";"Kunta";"suomi - ruotsi";11;"Keski-Suomen vaalipiiri";"Mellersta Finlands valkrets";12;"Keski-Suomi";"Mellersta Finland"
"503";"Mynämäki";"Virmo";"Kunta";"suomi";3;"Varsinais-Suomen vaalipiiri";"Egentliga Finlands valkrets";2;"Varsinais-Suomi";"Egentliga Finland"
"504";"Myrskylä";"Mörskom";"Kunta";"suomi";2;"Uudenmaan vaalipiiri";"Nylands valkrets";1;"Uusimaa";"Nyland"
"505";"Mäntsälä";"Mäntsälä";"Kunta";"suomi";2;"Uudenmaan vaalipiiri";"Nylands valkrets";1;"Uusimaa";"Nyland"
"507";"Mäntyharju";"Mäntyharju";"Kunta";"suomi";8;"Kaakkois-Suomen vaalipiiri";"Sydöstra Finlands valkrets";9;"Etelä-Savo";"Södra Savolax"
"508";"Mänttä-Vilppula";"Mänttä-Vilppula";"Kaupunki";"suomi";7;"Pirkanmaan vaalipiiri";"Birkalands valkrets";5;"Pirkanmaa";"Birkaland"
"529";"Naantali";"Nådendal";"Kaupunki";"suomi";3;"Varsinais-Suomen vaalipiiri";"Egentliga Finlands valkrets";2;"Varsinais-Suomi";"Egentliga Finland"
"531";"Nakkila";"Nakkila";"Kunta";"suomi";4;"Satakunnan vaalipiiri";"Satakunta valkrets";3;"Satakunta";"Satakunta"
"535";"Nivala";"Nivala";"Kaupunki";"suomi";12;"Oulun vaalipiiri";"Uleåborgs valkrets";16;"Pohjois-Pohjanmaa";"Norra Österbotten"
"536";"Nokia";"Nokia";"Kaupunki";"suomi";7;"Pirkanmaan vaalipiiri";"Birkalands valkrets";5;"Pirkanmaa";"Birkaland"
"538";"Nousiainen";"Nousis";"Kunta";"suomi";3;"Varsinais-Suomen vaalipiiri";"Egentliga Finlands valkrets";2;"Varsinais-Suomi";"Egentliga Finland"
"541";"Nurmes";"Nurmes";"Kaupunki";"ruotsi";9;"Savo-Karjalan vaalipiiri";"Savolax-Karelens valkrets";11;"Pohjois-Karjala";"Norra Karelen"
"543";"Nurmijärvi";"Nurmijärvi";"Kunta";"suomi";2;"Uudenmaan vaalipiiri";"Nylands valkrets";1;"Uusimaa";"Nyland"
"545";"Närpiö";"Närpes";"Kaupunki";"suomi";10;"Vaasan vaalipiiri";"Vasa valkrets";14;"Pohjanmaa";"Österbotten"
"560";"Orimattila";"Orimattila";"Kaupunki";"suomi";6;"Hämeen vaalipiiri";"Tavastlands valkrets";6;"Päijät-Häme";"Päijänne-Tavastland"
"561";"Oripää";"Oripää";"Kunta";"suomi";3;"Varsinais-Suomen vaalipiiri";"Egentliga Finlands valkrets";2;"Varsinais-Suomi";"Egentliga Finland"
"562";"Orivesi";"Orivesi";"Kaupunki";"suomi";7;"Pirkanmaan vaalipiiri";"Birkalands valkrets";5;"Pirkanmaa";"Birkaland"
"563";"Oulainen";"Oulainen";"Kaupunki";"suomi";12;"Oulun vaalipiiri";"Uleåborgs valkrets";16;"Pohjois-Pohjanmaa";"Norra Österbotten"
"564";"Oulu";"Uleåborg";"Kaupunki";"suomi";12;"Oulun vaalipiiri";"Uleåborgs valkrets";16;"Pohjois-Pohjanmaa";"Norra Österbotten"
"576";"Padasjoki";"Padasjoki";"Kunta";"suomi";6;"Hämeen vaalipiiri";"Tavastlands valkrets";6;"Päijät-Häme";"Päijänne-Tavastland"
"577";"Paimio";"Pemar";"Kaupunki";"suomi";3;"Varsinais-Suomen vaalipiiri";"Egentliga Finlands valkrets";2;"Varsinais-Suomi";"Egentliga Finland"
"578";"Paltamo";"Paltamo";"Kunta";"suomi";12;"Oulun vaalipiiri";"Uleåborgs valkrets";17;"Kainuu";"Kajanaland"
"580";"Parikkala";"Parikkala";"Kunta";"suomi";8;"Kaakkois-Suomen vaalipiiri";"Sydöstra Finlands valkrets";8;"Etelä-Karjala";"Södra Karelen"
"581";"Parkano";"Parkano";"Kaupunki";"suomi";7;"Pirkanmaan vaalipiiri";"Birkalands valkrets";5;"Pirkanmaa";"Birkaland"
"583";"Pelkosenniemi";"Pelkosenniemi";"Kunta";"suomi";13;"Lapin vaalipiiri";"Lapplands valkrets";18;"Lappi";"Lappland"
"584";"Perho";"Perho";"Kunta";"suomi";10;"Vaasan vaalipiiri";"Vasa valkrets";15;"Keski-Pohjanmaa";"Mellersta Österbotten"
"588";"Pertunmaa";"Pertunmaa";"Kunta";"suomi";8;"Kaakkois-Suomen vaalipiiri";"Sydöstra Finlands valkrets";9;"Etelä-Savo";"Södra Savolax"
"592";"Petäjävesi";"Petäjävesi";"Kunta";"suomi";11;"Keski-Suomen vaalipiiri";"Mellersta Finlands valkrets";12;"Keski-Suomi";"Mellersta Finland"
"593";"Pieksämäki";"Pieksämäki";"Kaupunki";"ruotsi - suomi";8;"Kaakkois-Suomen vaalipiiri";"Sydöstra Finlands valkrets";9;"Etelä-Savo";"Södra Savolax"
"595";"Pielavesi";"Pielavesi";"Kunta";"ruotsi - suomi";9;"Savo-Karjalan vaalipiiri";"Savolax-Karelens valkrets";10;"Pohjois-Savo";"Norra Savolax"
"598";"Pietarsaari";"Jakobstad";"Kaupunki";"suomi";10;"Vaasan vaalipiiri";"Vasa valkrets";14;"Pohjanmaa";"Österbotten"
"599";"Pedersören kunta";"Pedersöre";"Kunta";"suomi";10;"Vaasan vaalipiiri";"Vasa valkrets";14;"Pohjanmaa";"Österbotten"
"601";"Pihtipudas";"Pihtipudas";"Kunta";"suomi";11;"Keski-Suomen vaalipiiri";"Mellersta Finlands valkrets";12;"Keski-Suomi";"Mellersta Finland"
"604";"Pirkkala";"Birkala";"Kunta";"suomi";7;"Pirkanmaan vaalipiiri";"Birkalands valkrets";5;"Pirkanmaa";"Birkaland"
"607";"Polvijärvi";"Polvijärvi";"Kunta";"suomi";9;"Savo-Karjalan vaalipiiri";"Savolax-Karelens valkrets";11;"Pohjois-Karjala";"Norra Karelen"
"608";"Pomarkku";"Påmark";"Kunta";"suomi";4;"Satakunnan vaalipiiri";"Satakunta valkrets";3;"Satakunta";"Satakunta"
"609";"Pori";"Björneborg";"Kaupunki";"suomi";4;"Satakunnan vaalipiiri";"Satakunta valkrets";3;"Satakunta";"Satakunta"
"611";"Pornainen";"Borgnäs";"Kunta";"suomi";2;"Uudenmaan vaalipiiri";"Nylands valkrets";1;"Uusimaa";"Nyland"
"614";"Posio";"Posio";"Kunta";"suomi";13;"Lapin vaalipiiri";"Lapplands valkrets";18;"Lappi";"Lappland"
"615";"Pudasjärvi";"Pudasjärvi";"Kaupunki";"suomi";12;"Oulun vaalipiiri";"Uleåborgs valkrets";16;"Pohjois-Pohjanmaa";"Norra Österbotten"
"616";"Pukkila";"Pukkila";"Kunta";"suomi";2;"Uudenmaan vaalipiiri";"Nylands valkrets";1;"Uusimaa";"Nyland"
"619";"Punkalaidun";"Punkalaidun";"Kunta";"suomi";7;"Pirkanmaan vaalipiiri";"Birkalands valkrets";5;"Pirkanmaa";"Birkaland"
"620";"Puolanka";"Puolanka";"Kunta";"suomi - ruotsi";12;"Oulun vaalipiiri";"Uleåborgs valkrets";17;"Kainuu";"Kajanaland"
"623";"Puumala";"Puumala";"Kunta";"suomi";8;"Kaakkois-Suomen vaalipiiri";"Sydöstra Finlands valkrets";9;"Etelä-Savo";"Södra Savolax"
"624";"Pyhtää";"Pyttis";"Kunta";"suomi";8;"Kaakkois-Suomen vaalipiiri";"Sydöstra Finlands valkrets";7;"Kymenlaakso";"Kymmenedalen"
"625";"Pyhäjoki";"Pyhäjoki";"Kunta";"suomi";12;"Oulun vaalipiiri";"Uleåborgs valkrets";16;"Pohjois-Pohjanmaa";"Norra Österbotten"
"626";"Pyhäjärvi";"Pyhäjärvi";"Kaupunki";"suomi";12;"Oulun vaalipiiri";"Uleåborgs valkrets";16;"Pohjois-Pohjanmaa";"Norra Österbotten"
"630";"Pyhäntä";"Pyhäntä";"Kunta";"suomi";12;"Oulun vaalipiiri";"Uleåborgs valkrets";16;"Pohjois-Pohjanmaa";"Norra Österbotten"
"631";"Pyhäranta";"Pyhäranta";"Kunta";"suomi";3;"Varsinais-Suomen vaalipiiri";"Egentliga Finlands valkrets";2;"Varsinais-Suomi";"Egentliga Finland"
"635";"Pälkäne";"Pälkäne";"Kunta";"suomi - ruotsi";7;"Pirkanmaan vaalipiiri";"Birkalands valkrets";5;"Pirkanmaa";"Birkaland"
"636";"Pöytyä";"Pöytyä";"Kunta";"suomi";3;"Varsinais-Suomen vaalipiiri";"Egentliga Finlands valkrets";2;"Varsinais-Suomi";"Egentliga Finland"
"638";"Porvoo";"Borgå";"Kaupunki";"suomi";2;"Uudenmaan vaalipiiri";"Nylands valkrets";1;"Uusimaa";"Nyland"
"678";"Raahe";"Brahestad";"Kaupunki";"suomi";12;"Oulun vaalipiiri";"Uleåborgs valkrets";16;"Pohjois-Pohjanmaa";"Norra Österbotten"
"680";"Raisio";"Reso";"Kaupunki";"suomi";3;"Varsinais-Suomen vaalipiiri";"Egentliga Finlands valkrets";2;"Varsinais-Suomi";"Egentliga Finland"
"681";"Rantasalmi";"Rantasalmi";"Kunta";"suomi";8;"Kaakkois-Suomen vaalipiiri";"Sydöstra Finlands valkrets";9;"Etelä-Savo";"Södra Savolax"
"683";"Ranua";"Ranua";"Kunta";"suomi";13;"Lapin vaalipiiri";"Lapplands valkrets";18;"Lappi";"Lappland"
"684";"Rauma";"Raumo";"Kaupunki";"suomi";4;"Satakunnan vaalipiiri";"Satakunta valkrets";3;"Satakunta";"Satakunta"
"686";"Rautalampi";"Rautalampi";"Kunta";"suomi";9;"Savo-Karjalan vaalipiiri";"Savolax-Karelens valkrets";10;"Pohjois-Savo";"Norra Savolax"
"687";"Rautavaara";"Rautavaara";"Kunta";"suomi";9;"Savo-Karjalan vaalipiiri";"Savolax-Karelens valkrets";10;"Pohjois-Savo";"Norra Savolax"
"689";"Rautjärvi";"Rautjärvi";"Kunta";"suomi";8;"Kaakkois-Suomen vaalipiiri";"Sydöstra Finlands valkrets";8;"Etelä-Karjala";"Södra Karelen"
"691";"Reisjärvi";"Reisjärvi";"Kunta";"suomi";12;"Oulun vaalipiiri";"Uleåborgs valkrets";16;"Pohjois-Pohjanmaa";"Norra Österbotten"
"694";"Riihimäki";"Riihimäki";"Kaupunki";"suomi";6;"Hämeen vaalipiiri";"Tavastlands valkrets";4;"Kanta-Häme";"Egentliga Tavastland"
"697";"Ristijärvi";"Ristijärvi";"Kunta";"suomi";12;"Oulun vaalipiiri";"Uleåborgs valkrets";17;"Kainuu";"Kajanaland"
"698";"Rovaniemi";"Rovaniemi";"Kaupunki";"suomi";13;"Lapin vaalipiiri";"Lapplands valkrets";18;"Lappi";"Lappland"
"700";"Ruokolahti";"Ruokolax";"Kunta";"suomi";8;"Kaakkois-Suomen vaalipiiri";"Sydöstra Finlands valkrets";8;"Etelä-Karjala";"Södra Karelen"
"702";"Ruovesi";"Ruovesi";"Kunta";"suomi";7;"Pirkanmaan vaalipiiri";"Birkalands valkrets";5;"Pirkanmaa";"Birkaland"
"704";"Rusko";"Rusko";"Kunta";"ruotsi - suomi";3;"Varsinais-Suomen vaalipiiri";"Egentliga Finlands valkrets";2;"Varsinais-Suomi";"Egentliga Finland"
"707";"Rääkkylä";"Rääkkylä";"Kunta";"suomi";9;"Savo-Karjalan vaalipiiri";"Savolax-Karelens valkrets";11;"Pohjois-Karjala";"Norra Karelen"
"710";"Raasepori";"Raseborg";"Kaupunki";"suomi";2;"Uudenmaan vaalipiiri";"Nylands valkrets";1;"Uusimaa";"Nyland"
"729";"Saarijärvi";"Saarijärvi";"Kaupunki";"suomi";11;"Keski-Suomen vaalipiiri";"Mellersta Finlands valkrets";12;"Keski-Suomi";"Mellersta Finland"
"732";"Salla";"Salla";"Kunta";"ruotsi";13;"Lapin vaalipiiri";"Lapplands valkrets";18;"Lappi";"Lappland"
"734";"Salo";"Salo";"Kaupunki";"suomi";3;"Varsinais-Suomen vaalipiiri";"Egentliga Finlands valkrets";2;"Varsinais-Suomi";"Egentliga Finland"
"736";"Saltvik";"Saltvik";"Kunta";"suomi";5;"Ahvenanmaan maakunnan vaalipiiri";"Landskapet Ålands valkrets";19;"Ahvenanmaa";"Åland"
"738";"Sauvo";"Sagu";"Kunta";"suomi";3;"Varsinais-Suomen vaalipiiri";"Egentliga Finlands valkrets";2;"Varsinais-Suomi";"Egentliga Finland"
"739";"Savitaipale";"Savitaipale";"Kunta";"suomi";8;"Kaakkois-Suomen vaalipiiri";"Sydöstra Finlands valkrets";8;"Etelä-Karjala";"Södra Karelen"
"740";"Savonlinna";"Nyslott";"Kaupunki";"suomi";8;"Kaakkois-Suomen vaalipiiri";"Sydöstra Finlands valkrets";9;"Etelä-Savo";"Södra Savolax"
"742";"Savukoski";"Savukoski";"Kunta";"suomi";13;"Lapin vaalipiiri";"Lapplands valkrets";18;"Lappi";"Lappland"
"743";"Seinäjoki";"Seinäjoki";"Kaupunki";"suomi";10;"Vaasan vaalipiiri";"Vasa valkrets";13;"Etelä-Pohjanmaa";"Södra Österbotten"
"746";"Sievi";"Sievi";"Kunta";"suomi";12;"Oulun vaalipiiri";"Uleåborgs valkrets";16;"Pohjois-Pohjanmaa";"Norra Österbotten"
"747";"Siikainen";"Siikais";"Kunta";"suomi";4;"Satakunnan vaalipiiri";"Satakunta valkrets";3;"Satakunta";"Satakunta"
"748";"Siikajoki";"Siikajoki";"Kunta";"suomi";12;"Oulun vaalipiiri";"Uleåborgs valkrets";16;"Pohjois-Pohjanmaa";"Norra Österbotten"
"749";"Siilinjärvi";"Siilinjärvi";"Kunta";"suomi - ruotsi";9;"Savo-Karjalan vaalipiiri";"Savolax-Karelens valkrets";10;"Pohjois-Savo";"Norra Savolax"
"751";"Simo";"Simo";"Kunta";"suomi - ruotsi";13;"Lapin vaalipiiri";"Lapplands valkrets";18;"Lappi";"Lappland"
"753";"Sipoo";"Sibbo";"Kunta";"suomi";2;"Uudenmaan vaalipiiri";"Nylands valkrets";1;"Uusimaa";"Nyland"
"755";"Siuntio";"Sjundeå";"Kunta";"suomi";2;"Uudenmaan vaalipiiri";"Nylands valkrets";1;"Uusimaa";"Nyland"
"758";"Sodankylä";"Sodankylä";"Kunta";"suomi";13;"Lapin vaalipiiri";"Lapplands valkrets";18;"Lappi";"Lappland"
"759";"Soini";"Soini";"Kunta";"suomi";10;"Vaasan vaalipiiri";"Vasa valkrets";13;"Etelä-Pohjanmaa";"Södra Österbotten"
"761";"Somero";"Somero";"Kaupunki";"suomi";3;"Varsinais-Suomen vaalipiiri";"Egentliga Finlands valkrets";2;"Varsinais-Suomi";"Egentliga Finland"
"762";"Sonkajärvi";"Sonkajärvi";"Kunta";"ruotsi";9;"Savo-Karjalan vaalipiiri";"Savolax-Karelens valkrets";10;"Pohjois-Savo";"Norra Savolax"
"765";"Sotkamo";"Sotkamo";"Kunta";"suomi";12;"Oulun vaalipiiri";"Uleåborgs valkrets";17;"Kainuu";"Kajanaland"
"766";"Sottunga";"Sottunga";"Kunta";"ruotsi";5;"Ahvenanmaan maakunnan vaalipiiri";"Landskapet Ålands valkrets";19;"Ahvenanmaa";"Åland"
